year,region,classification,pollutant,unit,source,data_status,energy_industry_co2e_t,energy_co2e_t,industry_co2e_t,traffic_co2e_t,buildings_co2e_t,agriculture_co2e_t,waste_co2e_t,fluorinated_gases_co2e_t,total_co2e_t,population,energy_co2e_t_percapita,industry_co2e_t_percapita,energy_industry_co2e_t_percapita,traffic_co2e_t_percapita,buildings_co2e_t_percapita,agriculture_co2e_t_percapita,waste_co2e_t_percapita,fluorinated_gases_co2e_t_percapita,total_co2e_t_percapita,international_flight_co2e_t
2003,Tirol,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1044861.903,48460.63669,996401.2662,1885578.581,1235596.906,676278.3467,269809.4293,101879.9941,5214005.16,679457,0.0713225953813118,1.46646699673416,1.53778959227736,2.77512569743192,1.81850640437879,0.995321774152007,0.397095665067841,0.149943254834375,7.67378238799512,
2003,Tirol,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,679457,,,,,,,,,,
2003,Vorarlberg,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,354605,,,,,,,,,,
2003,Vorarlberg,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,251100.3497,3448.48773,247651.8619,957781.5873,707011.929,228459.6469,126050.4479,53225.20825,2323629.169,354605,0.00972487057430098,0.698387958150618,0.708112828922322,2.70098161983052,1.99380135361882,0.644265159543718,0.355467204072137,0.150097173615713,6.55272533946222,
2003,Vorarlberg,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,354605,,,,,,,,,,
2003,Wien,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1592846,,,,,,,,,,
2003,Wien,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,3279145.868,2806294.843,472851.0251,3657997.089,2166091.927,30458.0323,543969.5803,239602.2653,9917264.761,1592846,1.76181177778643,0.296859222486041,2.05867100020969,2.29651647993591,1.35988785293745,0.0191217683944336,0.341507955131883,0.150423999118559,6.2261290551629,
2003,Wien,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1592846,,,,,,,,,,
2004,Austria,Emissionshandel,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8142573,,,,,,,,,,
2004,Austria,Emissionshandel Abgrenzung ab 2013,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8142573,,,,,,,,,,
2004,Austria,Gesamt,THG,t CO2-äq,NowCast (1990-2023),31072024,40231107.81,16181669.79,24049438.02,24245556.39,13027399.12,8427009.081,3743819.679,1768049.532,91442941.61,8142573,1.98729195181916,2.95354281994156,4.94083477176072,2.97762837250584,1.59991186078405,1.03493196573123,0.459783373019806,0.217136466814605,11.2302268103706,1741119
2004,Austria,KSG,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8142573,,,,,,,,,,
2004,Burgenland,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,276792,,,,,,,,,,
2004,Burgenland,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,182998.4989,12934.1119,170064.387,935105.7971,518742.5225,244018.8225,167885.2736,41286.34097,2090037.256,276792,0.0467286334142605,0.614412219283794,0.661140852698055,3.37837002911934,1.87412397215237,0.881596370198561,0.606539472239082,0.14916016709298,7.5509308650539,
2004,Burgenland,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,276792,,,,,,,,,,
2004,Kärnten,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,558026,,,,,,,,,,
2004,Kärnten,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1387032.401,479174.7461,907857.6547,1776584.089,904595.3886,729116.0959,221028.1853,592471.8506,5610828.01,558026,0.85869609319279,1.62690923845842,2.48560533200962,3.18369410923505,1.62106315583862,1.30659878912452,0.396089403181931,1.0617280388369,10.0547788275098,
2004,Kärnten,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,558026,,,,,,,,,,
2004,Niederösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1557291,,,,,,,,,,
