month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
2020-2;4.79;0;0;0;0
2020-3;6.8;0;0;0;0
2020-4;12.33;0;1;0;0
2020-5;13.7;0;4;0;0
2020-6;17.38;1;10;0;0
2020-7;19.73;4;18;0;0
2020-8;20.07;7;18;0;0
2020-9;16.47;0;11;0;0
2020-10;10.09;0;0;0;0
2020-11;5.76;0;0;0;0
2020-12;1.87;0;0;0;0
2021-1;-1.29;0;0;0;12
2021-2;4.15;0;0;0;2
2021-3;5.25;0;0;0;0
2021-4;8.63;0;0;0;0
2021-5;12.35;0;2;0;0
2021-6;20.42;5;22;0;0
2021-7;19.67;1;17;0;0
2021-8;18.06;4;11;0;0
2021-9;16.78;0;7;0;0
2021-10;null;null;null;null;null
2021-11;null;null;null;null;null
2021-12;null;null;null;null;null
2022-1;null;null;null;null;null
2022-2;null;null;null;null;null
2022-3;null;null;null;null;null
2022-4;null;null;null;null;null
2022-5;null;null;null;null;null
2022-6;null;null;null;null;null
2022-7;null;null;null;null;null
2022-8;null;null;null;null;null
2022-9;null;null;null;null;null
2022-10;null;null;null;null;null
2022-11;null;null;null;null;null
2022-12;null;null;null;null;null
2023-1;null;null;null;null;null
2023-2;null;null;null;null;null
2023-3;null;null;null;null;null
2023-4;null;null;null;null;null
2023-5;null;null;null;null;null
2023-6;null;null;null;null;null
